Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator,rate_per_100k
2022-01-14,2021-12-11,Northern Region,Fully Vaccinated,1291.0,20.0,3.0,5662497.0,22.79912907680128
2022-01-14,2021-02-27,Eastern Region,Unvaccinated,2592.0,95.0,27.0,7175693.0,36.12194668863342
2022-01-14,2021-11-20,Northwest Region,Partially Vaccinated,109.0,4.0,2.0,761876.0,14.30679008132557
2022-01-14,2021-05-29,Southwest Region,Partially Vaccinated,34.0,4.0,0.0,734372.0,4.6298061472931975
2022-01-14,2021-09-18,Northwest Region,Fully Vaccinated,811.0,34.0,17.0,5104850.0,15.886852698903983
2022-01-14,2021-10-02,Southwest Region,Unvaccinated,3541.0,114.0,65.0,2760178.0,128.28882774951472
2022-01-14,2021-04-24,Northwest Region,Partially Vaccinated,120.0,9.0,4.0,1189279.0,10.090147055484877
2022-01-14,2021-03-06,Eastern Region,Unvaccinated,2263.0,100.0,61.0,6911547.0,32.74230790877932
2022-01-14,2021-07-24,Eastern Region,Unvaccinated,1213.0,71.0,8.0,3347954.0,36.2310832227683
2022-01-14,2021-07-03,Northern Region,Fully Vaccinated,67.0,1.0,1.0,4561247.0,1.4688965539467604
2022-01-14,2021-03-27,Northern Region,Unvaccinated,2606.0,56.0,9.0,5874242.0,44.36317060141547
2022-01-14,2021-05-15,Central Region,Fully Vaccinated,33.0,1.0,0.0,3632238.0,0.9085307735891756
2022-01-14,2021-04-10,Central Region,Partially Vaccinated,183.0,16.0,4.0,1305740.0,14.01504127927459
2022-01-14,2021-10-02,Eastern Region,Fully Vaccinated,846.0,19.0,12.0,5197060.0,16.278434345572304
2022-01-14,2021-05-29,Southwest Region,Unvaccinated,388.0,22.0,8.0,3777360.0,10.27172416714319
2022-01-14,2021-09-18,Northwest Region,Unvaccinated,3993.0,105.0,49.0,2841797.0,140.50968454115477
2022-01-14,2021-05-22,Northwest Region,Partially Vaccinated,25.0,2.0,0.0,764707.0,3.2692259911312433
2022-01-14,2021-03-27,Northwest Region,Fully Vaccinated,25.0,0.0,0.0,1505328.0,1.660767620080142
2022-01-14,2021-06-05,Central Region,Fully Vaccinated,15.0,2.0,0.0,4148382.0,0.36158675840363785
2022-01-14,2022-01-08,Northwest Region,Fully Vaccinated,1118.0,16.0,0.0,5795428.0,19.291068752816876
2022-01-14,2021-10-16,Eastern Region,Partially Vaccinated,135.0,6.0,0.0,576740.0,23.4074279571384
2022-01-14,2021-11-13,Central Region,Partially Vaccinated,86.0,2.0,1.0,702602.0,12.24021565552048
2022-01-14,2021-10-02,Central Region,Unvaccinated,2428.0,51.0,31.0,2760178.0,87.96534136566555
2022-01-14,2021-08-14,Northern Region,Unvaccinated,1527.0,55.0,11.0,3139868.0,48.63261767692145
2022-01-14,2021-07-10,Central Region,Partially Vaccinated,26.0,0.0,0.0,482709.0,5.38626791710948
2022-01-14,2021-03-13,Southwest Region,Fully Vaccinated,7.0,2.0,0.0,1121422.0,0.6242074794323635
